Country,Year,Energy,Industrial_Processes_and_Product_Use,Agriculture,LULUCF,Waste_management,Other_Sector,Total (with LULUCF),ind_CO2 - Indirect CO2
Czechia,2006-01-01,58470.5403375,3401.4349044444443,2113.61893,-2527.7161749999996,1171.1344525,0.0,29971.60900222223,1110.62834
Czechia,2007-01-01,59004.32356,3591.658107777778,2186.3697625,-1402.173225,1145.5213325,0.0,30909.557052222222,1062.4623900000001
Czechia,2008-01-01,56488.989415,3584.375867777777,2201.3134824999997,-3022.5989,1197.8218150000002,0.0,29089.06462,1040.04776
Czechia,2009-01-01,53775.079020000005,3041.095968888889,1973.160145,-3557.0821724999996,1223.684575,0.0,26996.679182222222,970.4413300000001
Czechia,2010-01-01,54531.9949175,3271.9298111111107,1951.7928825,-3144.3142725,1291.6680349999997,0.0,27769.75760222222,977.9419300000001
Czechia,2011-01-01,53319.78071,3319.8145144444443,2107.1885650000004,-3647.9005549999997,1303.50691,0.0,27124.98469444444,958.11455
Czechia,2012-01-01,51362.208795,3266.271471111111,2105.507855,-3729.765225,1345.1126625000002,0.0,26173.281351111116,915.41629
Czechia,2013-01-01,48911.652577500005,3250.04629,2100.805895,-3405.7088949999998,1422.97432,0.0,25222.109404444443,814.83622
Czechia,2014-01-01,47429.59719,3420.397344444444,2102.981525,-3348.0137025000004,1431.1727875,0.0,24763.040541111117,810.41878
Czechia,2015-01-01,48004.30605,3341.829467777778,2284.8053400000003,-2920.7082775,1459.2324100000003,0.0,25218.345375555553,789.05055
Czechia,2016-01-01,48762.28469249999,3390.218558888889,2347.8319975,-2347.9738350000002,1473.655635,0.0,25886.396131111112,761.2021
Czechia,2017-01-01,48256.0110275,3414.335877777778,2306.8034525000003,-1164.512855,1497.48872,0.0,26194.24480333333,718.00946
Czechia,2018-01-01,47263.257900000004,3561.9161833333337,2263.1531925,2887.0833425,1513.8979125000003,0.0,27682.940471111113,689.8246
Denmark,1990-01-01,26007.86007,407.5407211111111,3509.4653425,3159.9264224999997,461.84967,0.0,15387.858273333333,1133.22597
Denmark,1991-01-01,31313.750395,445.29171222222226,3443.5800125000005,2807.3415600000003,463.9285075000001,0.0,17609.393369999994,1181.25651
Denmark,1992-01-01,28400.1179575,469.19857555555546,3373.3462525,3426.9338,459.23467000000005,0.0,16573.467643333333,1149.94545
Denmark,1993-01-01,29558.769145,491.73587000000003,3338.0429999999997,2826.9373375,458.446055,0.0,16823.91768777778,1130.4270900000001
Denmark,1994-01-01,31562.308092499996,516.8666044444445,3307.4210175,2383.8146825000003,440.92471,0.0,17511.176394444446,1085.45704
Denmark,1995-01-01,29992.667962499996,545.7611122222222,3334.1967900000004,2423.4070575,419.5650125,0.0,16857.908893333337,1064.99136
Denmark,1996-01-01,36660.117755,585.7615811111111,3203.3738425,2160.7633525,407.1196925,0.0,19678.697566666666,1055.46265
Denmark,1997-01-01,31908.6763575,603.2317066666666,3218.2743625,2310.5172275,387.21647999999993,0.0,17632.37754555555,981.7874199999999
Denmark,1998-01-01,29875.564822500004,636.7963777777779,3163.0418050000003,2290.5012100000004,374.075345,0.0,16714.97581666666,945.44111
Denmark,1999-01-01,28627.533562499997,682.1705999999999,3067.3838699999997,2433.0245525,390.2484375,0.0,16219.806315555554,882.9798699999999
Denmark,2000-01-01,26420.090409999997,712.4560744444444,3048.4814525,2548.8913,389.40197,0.0,15299.707372222221,828.90058
Denmark,2001-01-01,27261.723159999998,691.414708888889,3039.8556800000006,2690.9149625,398.3428375,0.0,15710.397372222222,803.7487
Denmark,2002-01-01,27057.303607499998,686.7685977777777,3055.0721199999994,3218.0078075,405.09802999999994,0.0,15848.770241111113,758.04427
Denmark,2003-01-01,29670.395389999998,674.3618255555555,2995.493435,3101.70064,408.49653250000006,0.0,16916.182651111114,736.02171
